route_id,trip_id,service_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,drt_advance_book_min,bikes_allowed,fare_id,peak_offpeak,boarding_type
100005,800709240,21620,,Renton Rainier Beach Station,0,8048708,21106108,1,0.0,1,101,0,0
100005,800709270,21620,,Renton Rainier Beach Station,0,8048692,21106108,1,0.0,1,101,0,0
100005,800709280,21620,,Renton Rainier Beach Station,0,8048688,21106108,1,0.0,1,101,0,0
100005,800709320,21620,,Renton Rainier Beach Station,0,8048704,21106108,1,0.0,1,101,0,0
100005,800709330,21620,,Renton Rainier Beach Station,0,8048770,21106108,1,0.0,1,101,0,0
100005,800709350,21620,,Renton Rainier Beach Station,0,8048689,21106108,1,0.0,1,101,0,0
100005,800709430,21620,,Renton Rainier Beach Station,0,8048709,21106108,1,0.0,1,101,0,0
100005,800709530,21620,,International District Chinatown Station Rainier Beach Station,1,8048770,10106002,1,0.0,1,101,0,0
100005,800709560,21620,,International District Chinatown Station Rainier Beach Station,1,8048709,10106002,1,0.0,1,101,0,0
100005,800709620,21620,,Renton Rainier Beach Station,0,8048735,21106108,1,0.0,1,101,0,0
100005,800709650,21620,,Renton Rainier Beach Station,0,8048770,21106108,1,0.0,1,101,0,0
100005,800711900,21620,,Renton Rainier Beach Station,0,8048704,21106108,1,0.0,1,101,0,0
100489,800715940,20228,,Southcenter Sea Tac,1,8048890,40156004,1,0.0,1,101,0,0
100489,800715950,20228,,Kent Des Moines Station Highline College,0,8048890,31156005,1,0.0,1,101,0,0
100489,800715960,20228,,Southcenter Sea Tac,1,8048867,40156004,1,0.0,1,101,0,0
100489,800715970,20228,,Kent Des Moines Station Highline College,0,8048867,31156005,1,0.0,1,101,0,0
100489,800715980,20228,,Southcenter Sea Tac,1,8048890,40156004,1,0.0,1,101,0,0
100489,800715990,20228,,Southcenter Sea Tac,1,8048867,40156004,1,0.0,1,101,0,0
100489,800716000,20228,,Kent Des Moines Station Highline College,0,8048890,31156005,1,0.0,1,101,0,0
100489,800716010,20228,,Southcenter Sea Tac,1,8048890,40156004,1,0.0,1,101,0,0
100489,800716020,20228,,Kent Des Moines Station Highline College,0,8048867,31156005,1,0.0,1,101,0,0
100489,800716030,20228,,Kent Des Moines Station Highline College,0,8048890,31156005,1,0.0,1,101,0,0
100489,800716040,20228,,Southcenter Sea Tac,1,8048867,40156004,1,0.0,1,101,0,0
100489,800716050,20228,,Southcenter Sea Tac,1,8048890,40156004,1,0.0,1,101,0,0
100489,800716060,20228,,Kent Des Moines Station Highline College,0,8048867,31156005,1,0.0,1,101,0,0
100489,800716070,20228,,Southcenter Sea Tac,1,8048867,40156004,1,0.0,1,101,0,0
100489,800716080,20228,,Kent Des Moines Station Highline College,0,8048890,31156005,1,0.0,1,101,0,0
100489,800716090,20228,,Kent Des Moines Station Highline College,0,8048867,31156005,1,0.0,1,101,0,0
100489,800716100,20228,,Southcenter Sea Tac,1,8048890,40156004,1,0.0,1,101,0,0
100489,800716110,20228,,Kent Des Moines Station Highline College,0,8048889,31156005,1,0.0,1,101,0,0
100489,800716120,20228,,Southcenter Sea Tac,1,8048862,40156004,1,0.0,1,101,0,0
100489,800716130,20228,,Southcenter Sea Tac,1,8048889,40156004,1,0.0,1,101,0,0
100489,800716140,20228,,Kent Des Moines Station Highline College,0,8048862,31156005,1,0.0,1,101,0,0
100489,800716150,20228,,Kent Des Moines Station Highline College,0,8048889,31156005,1,0.0,1,101,0,0
100489,800716160,20228,,Southcenter Sea Tac,1,8048862,40156004,1,0.0,1,101,0,0
100489,800716170,20228,,Kent Des Moines Station Highline College,0,8048862,31156005,1,0.0,1,101,0,0
100489,800716180,20228,,Southcenter Sea Tac,1,8048889,40156004,1,0.0,1,101,0,0
100489,800716190,20228,,Southcenter Sea Tac,1,8048862,40156004,1,0.0,1,101,0,0
100489,800716200,20228,,Kent Des Moines Station Highline College,0,8048889,31156005,1,0.0,1,101,0,0
100489,800716210,20228,,Southcenter Sea Tac,1,8048889,40156004,1,0.0,1,101,0,0
100489,800716220,20228,,Kent Des Moines Station Highline College,0,8048862,31156005,1,0.0,1,101,0,0
100489,800716230,20228,,Kent Des Moines Station Highline College,0,8048889,31156005,1,0.0,1,101,0,0
100489,800716240,20228,,Southcenter Sea Tac,1,8048862,40156004,1,0.0,1,101,0,0
100489,800716250,20228,,Kent Des Moines Station Highline College,0,8048862,31156005,1,0.0,1,101,0,0
100489,800716260,20228,,Southcenter Sea Tac,1,8048889,40156004,1,0.0,1,101,0,0
100489,800716270,20228,,Kent Des Moines Station Highline College,0,8048889,31156005,1,0.0,1,101,0,0
102757,800716280,20228,,Downtown Federal Way Station Via S 320th St,1,8048897,40187006,1,0.0,1,101,0,0
102757,800716290,20228,,Twin Lakes Via Hoyt Road,0,8048897,31187007,1,0.0,1,101,0,0
100073,800716300,20228,,Downtown Federal Way Station,1,8048865,10182005,1,0.0,1,101,0,0
102757,800716310,20228,,Twin Lakes Via Hoyt Road,0,8048897,31187007,1,0.0,1,101,0,0
102757,800716320,20228,,Downtown Federal Way Station Via S 320th St,1,8048897,40187006,1,0.0,1,101,0,0
100073,800716330,20228,,Downtown Federal Way Station,1,8048865,10182005,1,0.0,1,101,0,0
100073,800716340,20228,,NE Tacoma Via SW 356th St,0,8048865,21182006,1,0.0,1,101,0,0
102757,800716350,20228,,Downtown Federal Way Station Via S 320th St,1,8048897,40187006,1,0.0,1,101,0,0
102757,800716380,20228,,Twin Lakes Via Hoyt Road,0,8048897,31187007,1,0.0,1,101,0,0
102757,800716400,20228,,Twin Lakes Via Hoyt Road,0,8048897,31187007,1,0.0,1,101,0,0
102757,800716410,20228,,Downtown Federal Way Station Via S 320th St,1,8048897,40187006,1,0.0,1,101,0,0
102757,800716430,20228,,Twin Lakes Via Hoyt Road,0,8048897,31187007,1,0.0,1,101,0,0
102757,800716440,20228,,Downtown Federal Way Station Via S 320th St,1,8048897,40187006,1,0.0,1,101,0,0
